School,Function,Avg_Percentage,First_Year,Last_Year,Data_Points
Chicago Booth,Finance,33.12,2021,2025,5
Chicago Booth,Consulting,29.32,2021,2025,5
Chicago Booth,Personal/Prior Business Contact,7.325,2021,2024,4
Chicago Booth,Private Equity,7.0200000000000005,2021,2025,5
Chicago Booth,General Management,5.340000000000001,2021,2025,5
Chicago Booth,Marketing,4.0600000000000005,2021,2025,5
Chicago Booth,Corporate Finance,2.96,2021,2025,5
Chicago Booth,Venture Capital,2.7399999999999998,2021,2025,5
Chicago Booth,Operations,1.5,2021,2025,5
Chicago Booth,Real Estate,1.1,2021,2025,5
Chicago Booth,Pepsico,0.8,2023,2023,1
Chicago Booth,Analytics/Data Science,0.7,2021,2025,5
Chicago Booth,Business Development,0.5666666666666668,2021,2023,3
Chicago Booth,Technology/Engineering,0.375,2021,2025,4
Columbia,Consulting,34.925,2021,2024,4
Columbia,Finance,27.65,2021,2024,4
Columbia,Technology/Engineering,19.533333333333335,2021,2023,3
Columbia,Private Equity,16.425,2021,2024,4
Columbia,Marketing,13.25,2021,2024,4
Columbia,Venture Capital,11.775,2021,2024,4
Columbia,Real Estate,8.9,2021,2024,4
Columbia,General Management,6.766666666666667,2022,2024,3
Columbia,Europe,5.0,2024,2024,1
Columbia,Analytics/Data Science,3.35,2022,2023,2
Columbia,Operations,3.1,2021,2024,4
Columbia,Corporate Finance,2.375,2021,2024,4
Kellogg,Consulting,39.26,2021,2024,4
Kellogg,Technology/Engineering,21.333333333333332,2021,2023,3
Kellogg,Finance,18.9925,2021,2024,4
Kellogg,Marketing,13.16,2021,2024,4
Kellogg,General Management,7.1899999999999995,2021,2024,4
Kellogg,Private Equity,4.41,2021,2024,4
Kellogg,Corporate Finance,2.4975,2021,2024,4
Kellogg,Venture Capital,1.695,2021,2024,4
Kellogg,Real Estate,1.0775000000000001,2021,2024,4
Kellogg,Operations,1.0150000000000001,2021,2024,4
Kellogg,Analytics/Data Science,0.8266666666666667,2021,2023,3
Kellogg,Human Resources,0.57,2023,2024,2
Kellogg,Central America and the Caribbean,0.5166666666666667,2022,2024,3
Kellogg,Europe-Free Trade Zone,0.48,2021,2024,3
Kellogg,Business Development,0.36,2022,2023,2
Kellogg,Corporate Social Responsibility,0.29000000000000004,2021,2023,2
MIT Sloan,hired three or more Sloanies; nearly,46.0,2023,2023,1
MIT Sloan,compensation. Growth potential was the top reason (,43.6,2020,2020,1
MIT Sloan,Moving Expenses,43.0,2024,2024,1
MIT Sloan,compensation. Relocation/Moving Expenses (,43.0,2023,2023,1
MIT Sloan,Relocation/Moving Expenses,42.7,2022,2022,1
MIT Sloan,Expenses (,40.1,2024,2024,1
MIT Sloan,Relocation Expenses,40.1,2024,2024,1
MIT Sloan,Interviews Scheduled Through On-Campus Recruiting,37.55,2015,2016,2
MIT Sloan,Consulting,34.3875,2015,2025,8
MIT Sloan,options and equity offered a significant boost in compensation for some. For the,24.5,2023,2023,1
MIT Sloan,Compensation5,22.7,2024,2024,1
MIT Sloan,Finance,20.614285714285717,2015,2025,7
MIT Sloan,Business,17.5,2015,2016,2
MIT Sloan,Technology/Engineering,17.366666666666667,2015,2024,3
MIT Sloan,Private Equity,12.5,2020,2025,6
MIT Sloan,Interviews through On-Campus Recruiting,12.3,2020,2021,2
MIT Sloan,Personal Network,11.1875,2015,2025,8
MIT Sloan,People/Corporate Culture,8.3125,2015,2025,8
MIT Sloan,Interviews Scheduled through MIT Sloan,7.75,2023,2024,2
MIT Sloan,Interviews through On-campus Recruiting,6.766666666666667,2021,2023,3
MIT Sloan,Venture Capital,6.525,2015,2025,8
MIT Sloan,Marketing,4.95,2015,2025,8
MIT Sloan,Compensation,4.2124999999999995,2015,2025,8
MIT Sloan,EUROPE,2.783333333333333,2020,2025,6
MIT Sloan,Europe including UK,2.4,2016,2016,1
MIT Sloan,Latin America & the Caribbean,2.4,2016,2016,1
MIT Sloan,Analytics/Data Science,2.033333333333333,2020,2025,6
MIT Sloan,Newspaper,1.95,2015,2016,2
MIT Sloan,Corporate Finance,1.925,2020,2024,4
MIT Sloan,LATIN AMERICA & THE CARIBBEAN,1.5333333333333332,2020,2022,3
MIT Sloan,Dash indicates fewer than three people,1.0,2017,2020,4
MIT Sloan,Dash indicates fewer than three people or less than,1.0,2015,2025,9
MIT Sloan,Human Resources,0.65,2015,2023,2
MIT Sloan,Interviews scheduled through MIT Sloan,0.5,2025,2025,1
NYU Stern,Consulting,39.4,2025,2025,1
NYU Stern,Finance,34.2,2025,2025,1
NYU Stern,Marketing,14.3,2025,2025,1
NYU Stern,Strategy,7.8,2025,2025,1
NYU Stern,Corporate Finance,5.2,2025,2025,1
NYU Stern,General,1.7,2025,2025,1
NYU Stern,Operations,1.7,2025,2025,1
NYU Stern,Private Equity,1.7,2025,2025,1
NYU Stern,Analytics/Data Science,0.9,2025,2025,1
NYU Stern,Venture Capital,0.9,2025,2025,1
NYU Stern,Accounting -,0.4,2025,2025,1
NYU Stern,Human Resources,0.4,2025,2025,1
NYU Stern,Technology/Engineering,0.4,2025,2025,1
NYU Stern,Business Development,0.3,2025,2025,1
Stanford,Finance,32.25,2021,2025,4
Stanford,Consulting,15.75,2021,2025,4
Stanford,Marketing,14.6,2021,2025,5
Stanford,Private Equity,14.0,2021,2025,5
Stanford,Product Management,10.5,2021,2022,2
Stanford,Venture Capital,8.8,2021,2025,5
Stanford,EUROPE,3.0,2021,2021,1
Stanford,Business Development,2.4,2021,2025,5
Stanford,Europe,1.0,2023,2024,2
Stanford,Europe <,1.0,2025,2025,1
Stanford,Human Resources <,1.0,2022,2022,1
Stanford,Latin America and Caribbean,1.0,2023,2023,1
Stanford,Operations,1.0,2022,2022,1
